192.17.239.51 engr-acm-nsm-01.acm.illinois.edu xen.open-nsm.net
192.17.239.52 engr-acm-nsm-02.acm.illinois.edu
192.17.239.53 engr-acm-nsm-03.acm.illinois.edu
192.17.239.54 engr-acm-nsm-04.acm.illinois.edu
192.17.239.55 engr-acm-nsm-05.acm.illinois.edu
192.17.239.56 engr-acm-nsm-06.acm.illinois.edu
192.17.239.57 engr-acm-nsm-07.acm.illinois.edu
192.17.239.58 engr-acm-nsm-08.acm.illinois.edu
192.17.239.59 engr-acm-nsm-09.acm.illinois.edu
192.17.239.60 engr-acm-nsm-10.acm.illinois.edu
192.17.239.61 engr-acm-nsm-11.acm.illinois.edu
192.17.239.62 engr-acm-nsm-12.acm.illinois.edu
192.17.239.63 engr-acm-nsm-13.acm.illinois.edu
192.17.239.64 engr-acm-nsm-14.acm.illinois.edu
192.17.239.65 engr-acm-nsm-15.acm.illinois.edu
192.17.239.66 engr-acm-nsm-16.acm.illinois.edu
192.17.239.67 engr-acm-nsm-17.acm.illinois.edu
192.17.239.68 engr-acm-nsm-18.acm.illinois.edu
192.17.239.69 engr-acm-nsm-19.acm.illinois.edu
192.17.239.70 engr-acm-nsm-20.acm.illinois.edu
192.17.239.71 engr-acm-nsm-21.acm.illinois.edu
192.17.239.72 engr-acm-nsm-22.acm.illinois.edu
192.17.239.73 engr-acm-nsm-23.acm.illinois.edu
192.17.239.74 engr-acm-nsm-24.acm.illinois.edu
192.17.239.75 engr-acm-nsm-25.acm.illinois.edu test.open-nsm.net
